Sexo:,Edad ,Provincia de  Origen,Ciudad de origen,El lugar donde vivia era: ,Su colegio era ,¿Sus estudios de tercer nivel fueron?,¿Cua¡l es su ultimo nivel de estudio culminado? (con o sin beca Senescyt),¿Qua© estudios cubrio su beca Senescyt?  (por favor seleccione todos los niveles financiados),Pias en donde realizo sus estudios cubiertos por la beca Senescyt del mayor grado financiado:,¿Cua¡l es su a¡rea de especializacion?,Año de convocatoria (mayor grado),Programa de beca financiado (mayor grado),¿Cua¡l es el ultimo nivel de estudios culminado de su padre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre? [Feedback],¿Cua¡l es su situacion actual?,Provincia actual de Residencia,Ciudad  actual de residencia,El lugar donde reside actualmente es:,Año de retorno,¿Cua¡ntos meses le tomo encontrar su primer empleo en Ecuador desde que retorno al Ecuador?,"En una escala del 1 al 5, ¿qua© tanto utilizaba sus habilidades adquiridas en sus estudios en este primer empleo en Ecuador?",¿Cua¡ntos  de experiencia previa relevante tenia antes de encontrar este empleo?,¿Como se siente en su trabajo?,"Comparado a cuando comenzo su actual empleo, sus habilidades han: ",¿Esta¡ en sus planes trabajar en el exterior una vez terminada la compensacion?,"Si tuviera una oportunidad laboral similar en el exterior y una en Ecuador, ¿qua© preferiria? y ¿por qua©?",¿Tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt? ,"Si tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt, Explique, por favor cua¡l. ",¿Ha sido notificado con la terminacion unilateral del contrato?  ,"Si Senescyt decidiese terminar su contrato de manera unilateral, ¿estaria usted y su familia en condiciones de devolver los costos de su beca?",Tiene temor que Senescyt le notifique por Terminacion Unilateral de Contrato,¿Ha tenido algun problema adicional que no se haya contemplado en esta encuesta?
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,United Kingdom,Salud,2014,Excelencia,Primaria,Primaria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,Si,Diferimento y liquidacion ,No,No,No,
Femenino,De 18 a 24 ,Imbabura,Ibarra,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United States of America,Ciencias biologicas y afines,2014,Excelencia,Maestria,Pregrado - tercer nivel,,Becario retornado,Imbabura,Ibarra,Urbano,2019,0-2 meses,1,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion financiera,No,No,No,
Masculino,De 35 a 39 ,Azuay,Cuenca,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Ingenieria y profesiones afines,2014,Convocatoria abierta,Maestria,Pregrado - tercer nivel,,Becario retornado,Azuay,Cuenca,Urbano,2016,0-2 meses,4,De 5 a 10 ,Contento(a),aumentado,No,Me quedaria en el Ecuador,Si,Firma para devolucion de pagara©,No,No,No,No
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Australia,Ciencias biologicas y afines,2012,GAR,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2020,Todavia no consigue empleo,1,De 1 a 3 ,Descontento(a) por ingresos bajos;Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,permanecido iguales,Si,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Compensacion ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Fiscomisional,En Ecuador en una universidad privada,Maestria,Maestria,Hungary,Medio ambiente,2017,Cooperacion,Secundaria,Especialidades ma©dicas,,Becario retornado,Pichincha,Quito,Urbano,2019,7-9 meses,5,De 1 a 3 ,Muy contento(a),aumentado,Si,Me quedaria en el Ecuador,Si,Liquidacion ,No,No,No,
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Netherlands,Humanidades,2018,Convocatoria abierta,Secundaria,Maestria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Brazil,Medio ambiente,2018,OEA ,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2018,Todavia no consigue empleo,,Menos de 1 año,,,No sa© aun,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,No,,No,No,No,
Femenino,De 35 a 39 ,Loja,Catamayo,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Ciencias biologicas y afines,2011,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Loja,Loja,Urbano,2013,3-6 meses,4,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor,No,,No,No,,
Masculino,De 35 a 39 ,Chimborazo,Riobamba,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Ingenieria y profesiones afines,2011,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Chimborazo,Riobamba,Urbano,2019,0-2 meses,2,De 3 a 5 ,Descontento(a) por muchas horas de trabajo;Descontento(a) por sobrecarga de trabajo,aumentado,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Compensacion ,No,No,No,
Masculino,De 35 a 39 ,Manabi,Portoviejo,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Maestria,Spain,Tecnologias de la informacion y la comunicacion,2013,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Manabi,Portoviejo,Urbano,2019,3-6 meses,4,De 5 a 10 ,Descontento(a) por no tener estabilidad,disminuido,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Espero un pago desde 2018,No,No,No,"Espero un pago desde 2018, valores aun adeudados "
Masculino,De 30 a 34 ,Napo,Tena,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Maestria,Hungary,Ingenieria y profesiones afines,2017,Cooperacion,Secundaria,Secundaria,,Becario retornado,Napo,Tena,Urbano,2019,Todavia no consigue empleo,,De 1 a 3 ,,disminuido,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,No
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Maestria,Chile,Ingenieria y profesiones afines,2017,Convocatoria abierta,Primaria,Primaria,,Becario retornado,Pichincha,Quito,Urbano,2020,Todavia no consigue empleo,3,No tenia experiencia,,,No sa© aun,Me quedaria en el Ecuador,Si,Solicitud de extension de estudios sin financiamiento y solicitud de redistribucion de rubros de financiamiento ,No,No,"SI, porque no regresa© en el plazo establecido",
Masculino,De 30 a 34 ,Carchi,Tulca¡n,Rural,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Venezuela,Salud,2013,Beca de Complemento Monseñor Leonidas Proaño,Maestria,Secundaria,,Becario retornado,Carchi,Tulca¡n,Rural,2018,10-12 meses,5,Menos de 1 año,,,No sa© aun,Me quedaria en el Ecuador,Si,Proceso de liquidacion,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 35 a 39 ,Manabi,Junin,Urbano,Privado,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,Chile,Tecnologias de la informacion y la comunicacion,2013,Convocatoria abierta,No culmino la primaria,No culmino la primaria,,Becario retornado,Manabi,Junin,Urbano,2019,+12 meses,4,No tenia experiencia,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo;Descontento(a) por no tener estabilidad,permanecido iguales,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Proceso de liquidacion ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,Manabi,Portoviejo,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Hungary,Ingenieria y profesiones afines,2016,Cooperacion,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Manabi,Portoviejo,Urbano,2018,3-6 meses,4,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,
Femenino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Germany,Medio ambiente,2012,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2017,3-6 meses,3,De 5 a 10 ,Descontento(a) por sobrecarga de trabajo;Descontento(a) por pocas posibilidades de progreso,permanecido iguales,Si,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,
Masculino,De 25 a 29 ,Tungurahua,Ambato,Rural,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Ingenieria y profesiones afines,2018,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,"Si, porque me encuentro en el exterior",
Masculino,De 40 a 50 ,Loja,Celica,Rural,Fiscomisional,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Brazil,Agricultura,2014,Convocatoria abierta,No culmino la primaria,Primaria,,Becario retornado,Loja,Loja,Urbano,2019,Todavia no consigue empleo,,No tenia experiencia,,,No,Me quedaria en el Ecuador,Si,"diferimiento del periodo de compensacion, lleva mas de 5 meses sin respuesta oficial",No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD,United States of America,Ciencias sociales y del comportamiento,2012,Convocatoria abierta,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2018,3-6 meses,3,De 5 a 10 ,Descontento(a) por ingresos bajos;Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,permanecido iguales,Si,Me quedaria en el Ecuador,Si,Hasta el momento no han respondido al respecto de la liquidacion financiera apesar de que los documentos fueron ingresados hace ma¡s de un año,No,No,No,
Femenino,De 25 a 29 ,Imbabura,Ibarra,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ingenieria y profesiones afines,2013,Excelencia,Secundaria,Secundaria,,Becario retornado,Imbabura,Ibarra,Urbano,2019,Todavia no consigue empleo,,No tenia experiencia,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"tengo un cra©dito educativo que estaba en remision de intereses, y pedi ayuda, tambia©n con el proceso de compensacion y con el proceso de liquidacion",No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 35 a 39 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad privada,Maestria,Maestria,Spain,Salud,2015,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2016,3-6 meses,1,De 3 a 5 ,Contento(a),aumentado,No sa© aun,Me quedaria en el Ecuador,Si,En espera de mi certificado de no adeudar y de que completa© la compensacion laboral,No,No,,
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ingenieria y profesiones afines,2018,Excelencia,Maestria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2018,0-2 meses,2,Menos de 1 año,Contento(a);Descontento(a) por las activ. que realiza;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,"Liquidacion de mi contrato, a pesar de haber regresado en octubre de 2018",No,No,No,
Femenino,De 25 a 29 ,Chimborazo,Riobamba,Urbano,Fiscomisional,En el exterior con beca Senescyt,Maestria,Maestria;Pregrado - tercer nivel,United Kingdom,Ingenieria y profesiones afines,2013,Excelencia,Maestria,Secundaria,,Becario retornado,Chimborazo,Riobamba,Urbano,2018,3-6 meses,5,No tenia experiencia,Descontento(a) por muchas horas de trabajo,aumentado,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,Liquidacion ,No,No,No,
Masculino,De 40 a 50 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Posdoctorado,Doctorado PhD,Canada,Ciencias sociales y del comportamiento,2011,Convocatoria abierta,Especialidades ma©dicas,Especialidades ma©dicas,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,Si,Me quedaria en el Ecuador,Si,"Finiquito de beca, diferimiento del periodo de compensacion, proyecto de compensacion desde el exterior ",Si,Tal vez,"Si, porque me encuentro en el exterior","Inestabilidad laboral de los analistas de becas, he tenido tra¡mites con al menos 20 analistas."
Femenino,De 40 a 50 ,Guayas,Guayaquil,Urbano,Privado,En Ecuador en una universidad privada,Pregrado - tercer nivel,Maestria,Canada,Ciencias sociales y del comportamiento,2020,Excelencia,Posdoctorado,Secundaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor,Si,"Si, un requerimiento de prorroga del inicio del devengamiento de la beca para terminar los estudios sin financiamiento adicional (desde Agosto 2019)",No,No,"Si, porque me encuentro en el exterior",Solo que me preocupa regresar a Ecuador al terminar mis estudios y no conseguir trabajo.
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Tecnologias de la informacion y la comunicacion,2015,Excelencia,Pregrado - tercer nivel,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,3,No tenia experiencia,Descontento(a) por pocas posibilidades de progreso,permanecido iguales,Si,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,liquidacion ,No,No,No,
Femenino,De 18 a 24 ,Pichincha,Quito,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ingenieria y profesiones afines,2014,Excelencia,Especialidades ma©dicas,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,7-9 meses,2,Menos de 1 año,Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,No,,No,No,No,
Masculino,De 35 a 39 ,Loja,Loja,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Doctorado PhD;Maestria,Colombia,Ingenieria y profesiones afines,2014,Convocatoria abierta,Secundaria,Secundaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Me quedaria en el Ecuador,Si,Pago semestre,No,No,No,Retraso en investigacion por causa de cuarentena 
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Germany,Ciencias sociales y del comportamiento,2014,Convocatoria abierta,Secundaria,Primaria,,Becario retornado,Pichincha,Quito,Urbano,2016,7-9 meses,4,De 1 a 3 ,Descontento(a) por no tener estabilidad,aumentado,Si,Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion ,No,No,No,
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Russia,Humanidades,2011,Cooperacion,Maestria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2015,3-6 meses,1,De 1 a 3 ,,,No sa© aun,Me quedaria en el Ecuador,Si,Liquidacion ,No,No,No,Considera que esta¡ o hizo un adecuada transferencia de conocimiento tras la inversion realizada por el pias?
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Ciencias fisicas,2018,Convocatoria abierta,Pregrado - tercer nivel,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2019,Todavia no consigue empleo,1,No tenia experiencia,Contento(a),permanecido iguales,Si,Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion,No,No,"Si, porque no encontra© trabajo en el plazo establecido","Registro de titulo es un tra¡mite increiblemente complicado, a pesar de que somos becados. Adema¡s las personas que atienden los tra¡mites son bastante incompetentes y no dan indicaciones precisas, inclusive a preguntas simples."
Masculino,50 años o ma¡s,Pichincha,Mejia,Rural,Publico,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Ingenieria y profesiones afines,2013,Convocatoria abierta,Maestria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2018,7-9 meses,1,Ma¡s de 10 ,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,No tengo respuesta de mi compensacion y mi liquidacion.,No,No,No,"NUNCA contestan ni a los tela©fonos, ni a los correos electronicos oficiales."
Masculino,De 25 a 29 ,Azuay,Cuenca,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Maestria,United Kingdom,Ingenieria y profesiones afines,2018,Convocatoria abierta,Maestria,Maestria,,Becario retornado,Azuay,Cuenca,Urbano,2019,0-2 meses,2,Menos de 1 año,Descontento(a) por ingresos bajos;Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,No,,No,No,No,
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Ingenieria y profesiones afines,2016,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2020,Todavia no consigue empleo,1,No tenia experiencia,,,No sa© aun,Me quedaria en el Ecuador,,,No,No,No,
Femenino,De 40 a 50 ,Azuay,Cuenca,Urbano,Privado,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD,Spain,Periodismo e informacion,2015,Profesores universitarios,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Azuay,Cuenca,Urbano,2018,0-2 meses,5,De 5 a 10 ,Muy contento(a),aumentado,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior por razones externas al trabajo,No,,No,No,No,
Femenino,De 35 a 39 ,Guayas,Guayaquil,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Australia,Ciencias sociales y del comportamiento,2014,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Guayas,Guayaquil,Urbano,2016,3-6 meses,3,De 3 a 5 ,,permanecido iguales,Si,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,Senescyt no ha informado como van a manejar el tema del cobro de los valores de convenios de pago a los becarios retornados. Hasta este mes de julio se pago en la cuenta del IFTH pero ahora el analista encargado del IFTH ya no esta¡ y no nos proporciono ninguna informacion.,No,No,,"Los valores de la liquidacion financiera se calcularon de forma injusta y son excesivos. 
Ahora, el problema es no saber a qua© cuenta depositar los valores del convenio de pago ya que lo ultimo que informo el analista del IFTH es que habia que comunicarse con Senescyt pero no indico con quia©n ni a qua© correo. El problema es que si no se paga a tiempo la cuota nos suben los intereses o nos amenazan con la terminacion del contrato. Durante los meses ma¡s restrictivos de la pandemia cuando era dificil hacer los pagos en el banco, el ifth igual cobro intereses por un dia de retraso en el pago. "
Masculino,De 18 a 24 ,Pichincha,Quito,Urbano,Fiscomisional,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ingenieria y profesiones afines,2015,Excelencia,Primaria,Primaria,,Becario retornado,Pichincha,Quito,Urbano,2019,7-9 meses,1,Menos de 1 año,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido","Conversando con compañeros con el mismo programa de estudios, es probable que la liquidacion toque devolver entre 15 y 20 mil dolares."
Masculino,De 40 a 50 ,Guayas,Guayaquil,Urbano,Privado,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Ingenieria y profesiones afines,2010,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Guayas,Daule,Urbano,2015,3-6 meses,4,De 5 a 10 ,Descontento(a) por no tener estabilidad,disminuido,No,Me quedaria en el Ecuador,Si,Liquidacion,No,No,No,Informes retrasados
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Maestria,Pregrado - tercer nivel,United Kingdom,Ingenieria y profesiones afines,2012,Excelencia,Pregrado - tercer nivel,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2020,Todavia no consigue empleo,,No tenia experiencia,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Diferimiento del tiempo de compensacion ,No,No,"Si, porque sali ma¡s de 30 dias al año del pias",
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Spain,Arquitectura y construccion,2017,Convocatoria abierta,Maestria,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2020,Todavia no consigue empleo,,De 5 a 10 ,Descontento(a) por ingresos bajos,permanecido iguales,No sa© aun,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor,Si,Liquidacion de beca ,No,No,No,"Deberia haber empezado el tiempo de compensacion, pero por la negligencia del sistema que no me permite liquidar la beca se asume que aun no empiezo. Llevo ya 6 meses en ecuador  nuevamente."
Femenino,De 25 a 29 ,Azuay,Cuenca,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Ingenieria y profesiones afines,2016,Convocatoria abierta,Maestria,Pregrado - tercer nivel,,Becario retornado,Azuay,Cuenca,Urbano,2020,Todavia no consigue empleo,,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,Me hicieron devolver costos de mi seguro de salud y vida aun cuando presenta© certificado y me preliquidaron en el ultimo desembolso de agosto 2019 cuando esta figura aun no estaba aprobada
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Spain,Ingenieria y profesiones afines,2013,Convocatoria abierta,Maestria,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2015,3-6 meses,3,De 3 a 5 ,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,,
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,United Kingdom,Educacion,2012,Excelencia,Primaria,Secundaria,,Becario retornado,Cañar,Azogues,Rural,2016,0-2 meses,5,Ma¡s de 10 ,Contento(a),permanecido iguales,Si,Me quedaria en el Ecuador,No,,No,No,No,
Femenino,De 18 a 24 ,Pichincha,Pichincha,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ciencias biologicas y afines,2014,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,7-9 meses,2,No tenia experiencia,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor,Si,Formulario rechazado de compensacion,No,No,"Si, porque sali ma¡s de 30 dias al año del pias",
Masculino,De 18 a 24 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ciencias fisicas,2014,Excelencia,,,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Desembolso del ultimo pago.,No,No,No,Pago de manutencion.
Femenino,De 30 a 34 ,Loja,Loja,Urbano,Fiscomisional,En Ecuador en una universidad privada,Maestria,Maestria,United Kingdom,Artes,2015,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Loja,Loja,Urbano,2016,7-9 meses,2,De 1 a 3 ,Contento(a),aumentado,No sa© aun,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Acta de finiquito desde el año pasado. Ya he entregado todos los documentos solo estoy a la espera de firmar esa Acta. Por el cierre del IFTH me han indicado que espere a las personas que van a hacer las nuevas encargadas.,No,No,No,Ninguno
